iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.285958283155867,1.57485091510941,0.5395220588235294,29.679835081100464,False,1,34d6605d,2023-06-06_11-22-52,1686050572,29.679835081100464,14386,8fa062c8815e,172.17.0.3,29.679835081100464,1
1,0.9658816419180157,0.7345130097340135,0.7987132352941176,26.33959674835205,False,2,34d6605d,2023-06-06_11-23-18,1686050598,56.019431829452515,14386,8fa062c8815e,172.17.0.3,56.019431829452515,2
2,0.3341725416915509,0.4957796878674451,0.8782169117647058,28.86433482170105,False,3,34d6605d,2023-06-06_11-23-47,1686050627,84.88376665115356,14386,8fa062c8815e,172.17.0.3,84.88376665115356,3
3,0.27468171804347663,0.32009293423856006,0.9140625,29.079510927200317,False,4,34d6605d,2023-06-06_11-24-16,1686050656,113.96327757835388,14386,8fa062c8815e,172.17.0.3,113.96327757835388,4
4,0.1304119590724122,0.49929391959791675,0.8897058823529411,29.986830234527588,False,5,34d6605d,2023-06-06_11-24-46,1686050686,143.95010781288147,14386,8fa062c8815e,172.17.0.3,143.95010781288147,5
0,2.224640032620106,1.4985687908004313,0.5418198529411765,17.952219009399414,False,1,34d6605d,2023-06-06_11-45-46,1686051946,161.90232682228088,31496,8fa062c8815e,172.17.0.3,17.952219009399414,1
1,0.7971133787944479,0.5451745752464322,0.8579963235294118,15.544421434402466,False,2,34d6605d,2023-06-06_11-46-01,1686051961,177.44674825668335,31496,8fa062c8815e,172.17.0.3,33.49664044380188,2
2,0.3042040762753741,0.4627339585191187,0.8814338235294118,15.47573184967041,False,3,34d6605d,2023-06-06_11-46-17,1686051977,192.92248010635376,31496,8fa062c8815e,172.17.0.3,48.97237229347229,3
3,0.14496006966722244,0.22837130659643343,0.9402573529411765,15.634798765182495,False,4,34d6605d,2023-06-06_11-46-32,1686051992,208.55727887153625,31496,8fa062c8815e,172.17.0.3,64.60717105865479,4
4,0.08094568862986651,0.20838742933290846,0.9494485294117647,15.822505474090576,False,5,34d6605d,2023-06-06_11-46-48,1686052008,224.37978434562683,31496,8fa062c8815e,172.17.0.3,80.42967653274536,5
5,0.05553280682420557,0.2461849622811903,0.9457720588235294,15.94789981842041,False,6,34d6605d,2023-06-06_11-47-04,1686052024,240.32768416404724,31496,8fa062c8815e,172.17.0.3,96.37757635116577,6
6,0.06233006488369072,0.26751352494637315,0.9375,15.608707427978516,False,7,34d6605d,2023-06-06_11-47-20,1686052040,255.93639159202576,31496,8fa062c8815e,172.17.0.3,111.98628377914429,7
7,0.04111272170551989,0.13954877300078378,0.9655330882352942,15.916871309280396,False,8,34d6605d,2023-06-06_11-47-36,1686052056,271.85326290130615,31496,8fa062c8815e,172.17.0.3,127.90315508842468,8
8,0.03825416578007048,0.24678775513722725,0.9430147058823529,16.880861520767212,False,9,34d6605d,2023-06-06_11-47-53,1686052073,288.73412442207336,31496,8fa062c8815e,172.17.0.3,144.7840166091919,9
9,0.023973037197155135,0.1887238654308021,0.9540441176470589,16.337475776672363,False,10,34d6605d,2023-06-06_11-48-09,1686052089,305.0716001987457,31496,8fa062c8815e,172.17.0.3,161.12149238586426,10
10,0.01276190560288474,0.17152220320970038,0.9609375,15.816400289535522,False,11,34d6605d,2023-06-06_11-48-25,1686052105,320.88800048828125,31496,8fa062c8815e,172.17.0.3,176.93789267539978,11
11,0.02230316452123677,0.27443989360814586,0.9434742647058824,15.006468296051025,False,12,34d6605d,2023-06-06_11-48-40,1686052120,335.8944687843323,31496,8fa062c8815e,172.17.0.3,191.9443609714508,12
12,0.035873230980727276,0.18089391077142758,0.9558823529411765,15.979981422424316,False,13,34d6605d,2023-06-06_11-48-56,1686052136,351.8744502067566,31496,8fa062c8815e,172.17.0.3,207.92434239387512,13
13,0.02960406942858171,0.15138891788528247,0.9613970588235294,15.97263240814209,False,14,34d6605d,2023-06-06_11-49-12,1686052152,367.8470826148987,31496,8fa062c8815e,172.17.0.3,223.8969748020172,14
14,0.028774037244006342,0.19670975418514847,0.9558823529411765,15.8866708278656,False,15,34d6605d,2023-06-06_11-49-28,1686052168,383.7337534427643,31496,8fa062c8815e,172.17.0.3,239.7836456298828,15
