iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.401816578744685,1.738740729935029,0.4411764705882353,33.83085584640503,False,1,6068bf5f,2023-06-06_11-22-51,1686050571,33.83085584640503,14382,8fa062c8815e,172.17.0.3,33.83085584640503,1
1,1.0056481734641547,0.697593022357015,0.8230698529411765,27.194218635559082,False,2,6068bf5f,2023-06-06_11-23-19,1686050599,61.02507448196411,14382,8fa062c8815e,172.17.0.3,61.02507448196411,2
2,0.3331024183810336,0.6153162753976443,0.8625919117647058,30.935096740722656,False,3,6068bf5f,2023-06-06_11-23-50,1686050630,91.96017122268677,14382,8fa062c8815e,172.17.0.3,91.96017122268677,3
3,0.33818946952380025,0.4088236253489466,0.8956801470588235,28.909985780715942,False,4,6068bf5f,2023-06-06_11-24-19,1686050659,120.87015700340271,14382,8fa062c8815e,172.17.0.3,120.87015700340271,4
4,0.2608138222826048,0.2281141897992176,0.9283088235294118,30.848811626434326,False,5,6068bf5f,2023-06-06_11-24-49,1686050689,151.71896862983704,14382,8fa062c8815e,172.17.0.3,151.71896862983704,5
0,2.3004960203633726,1.7147612747024088,0.4650735294117647,17.12008571624756,False,1,6068bf5f,2023-06-06_11-45-41,1686051941,168.8390543460846,14386,8fa062c8815e,172.17.0.3,17.12008571624756,1
1,0.8831466015392136,0.7879983874804833,0.7844669117647058,17.36324954032898,False,2,6068bf5f,2023-06-06_11-45-59,1686051959,186.20230388641357,14386,8fa062c8815e,172.17.0.3,34.48333525657654,2
2,0.32987834625307794,0.494376796133378,0.8786764705882353,17.3907630443573,False,3,6068bf5f,2023-06-06_11-46-16,1686051976,203.59306693077087,14386,8fa062c8815e,172.17.0.3,51.87409830093384,3
3,0.3136496101008746,0.48042542355902057,0.8713235294117647,17.116724967956543,False,4,6068bf5f,2023-06-06_11-46-33,1686051993,220.70979189872742,14386,8fa062c8815e,172.17.0.3,68.99082326889038,4
4,0.11956275365704182,0.35263935635414195,0.9076286764705882,16.5590603351593,False,5,6068bf5f,2023-06-06_11-46-50,1686052010,237.26885223388672,14386,8fa062c8815e,172.17.0.3,85.54988360404968,5
5,0.060252703319403154,0.241805463536259,0.9393382352941176,16.725929498672485,False,6,6068bf5f,2023-06-06_11-47-07,1686052027,253.9947817325592,14386,8fa062c8815e,172.17.0.3,102.27581310272217,6
6,0.05107910104900671,0.2582260746618404,0.9333639705882353,16.373250484466553,False,7,6068bf5f,2023-06-06_11-47-23,1686052043,270.36803221702576,14386,8fa062c8815e,172.17.0.3,118.64906358718872,7
7,0.05058915682534859,0.23608276406850884,0.9439338235294118,16.41040015220642,False,8,6068bf5f,2023-06-06_11-47-39,1686052059,286.7784323692322,14386,8fa062c8815e,172.17.0.3,135.05946373939514,8
8,0.03906860072120518,0.24726911832797616,0.9397977941176471,16.680670499801636,False,9,6068bf5f,2023-06-06_11-47-56,1686052076,303.4591028690338,14386,8fa062c8815e,172.17.0.3,151.74013423919678,9
9,0.031185586290271246,0.22923609699971756,0.9443933823529411,16.800262928009033,False,10,6068bf5f,2023-06-06_11-48-13,1686052093,320.25936579704285,14386,8fa062c8815e,172.17.0.3,168.5403971672058,10
10,0.022389836940525588,0.184090022374328,0.9517463235294118,16.27476143836975,False,11,6068bf5f,2023-06-06_11-48-29,1686052109,336.5341272354126,14386,8fa062c8815e,172.17.0.3,184.81515860557556,11
11,0.011424255279317787,0.17494368276161634,0.9540441176470589,16.157015323638916,False,12,6068bf5f,2023-06-06_11-48-45,1686052125,352.6911425590515,14386,8fa062c8815e,172.17.0.3,200.97217392921448,12
12,0.012429158335542577,0.20962780892081997,0.9453125,16.118139505386353,False,13,6068bf5f,2023-06-06_11-49-01,1686052141,368.80928206443787,14386,8fa062c8815e,172.17.0.3,217.09031343460083,13
13,0.04285073794200745,0.3263492081862162,0.9292279411764706,16.66490626335144,False,14,6068bf5f,2023-06-06_11-49-18,1686052158,385.4741883277893,14386,8fa062c8815e,172.17.0.3,233.75521969795227,14
14,0.03849851629907012,0.32209373594206925,0.9278492647058824,15.653297901153564,False,15,6068bf5f,2023-06-06_11-49-34,1686052174,401.12748622894287,14386,8fa062c8815e,172.17.0.3,249.40851759910583,15
