iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.2023234199551704,1.5096468732637518,0.578125,34.289815187454224,False,1,a0f113a0,2023-06-06_11-22-46,1686050566,34.289815187454224,14379,8fa062c8815e,172.17.0.3,34.289815187454224,1
0,2.287493970208955,1.6277840435504913,0.43106617647058826,39.187172651290894,False,1,a0f113a0,2023-06-06_11-25-29,1686050729,73.47698783874512,14371,8fa062c8815e,172.17.0.3,39.187172651290894,1
1,0.9225467780550707,0.6229883555103751,0.8538602941176471,34.04392910003662,False,2,a0f113a0,2023-06-06_11-26-03,1686050763,107.52091693878174,14371,8fa062c8815e,172.17.0.3,73.23110175132751,2
2,0.27519127382960135,0.3554635375519009,0.9016544117647058,31.094110250473022,False,3,a0f113a0,2023-06-06_11-26-34,1686050794,138.61502718925476,14371,8fa062c8815e,172.17.0.3,104.32521200180054,3
0,2.266271640953508,1.5449855239952313,0.5422794117647058,18.28695583343506,False,1,a0f113a0,2023-06-06_11-28-13,1686050893,156.90198302268982,3584,8fa062c8815e,172.17.0.3,18.28695583343506,1
1,0.8777571871732045,0.6116499852608231,0.8556985294117647,15.408573627471924,False,2,a0f113a0,2023-06-06_11-28-28,1686050908,172.31055665016174,3584,8fa062c8815e,172.17.0.3,33.69552946090698,2
2,0.30290160556007356,0.4167324866661254,0.8846507352941176,15.664464235305786,False,3,a0f113a0,2023-06-06_11-28-44,1686050924,187.97502088546753,3584,8fa062c8815e,172.17.0.3,49.35999369621277,3
3,0.21568497829139233,0.3063334797454231,0.9273897058823529,17.24178957939148,False,4,a0f113a0,2023-06-06_11-29-01,1686050941,205.216810464859,3584,8fa062c8815e,172.17.0.3,66.60178327560425,4
4,0.09128439460329495,0.24435360474950252,0.9402573529411765,16.419777154922485,False,5,a0f113a0,2023-06-06_11-29-17,1686050957,221.6365876197815,3584,8fa062c8815e,172.17.0.3,83.02156043052673,5
5,0.06269611533080201,0.21109787715763292,0.9512867647058824,16.283498764038086,False,6,a0f113a0,2023-06-06_11-29-34,1686050974,237.92008638381958,3584,8fa062c8815e,172.17.0.3,99.30505919456482,6
6,0.06995735723678999,0.23538293493637705,0.9393382352941176,15.908092498779297,False,7,a0f113a0,2023-06-06_11-29-50,1686050990,253.82817888259888,3584,8fa062c8815e,172.17.0.3,115.21315169334412,7
7,0.04704161585552744,0.15455842513234958,0.9595588235294118,15.457940101623535,False,8,a0f113a0,2023-06-06_11-30-05,1686051005,269.2861189842224,3584,8fa062c8815e,172.17.0.3,130.67109179496765,8
8,0.02812003299426649,0.18283318372799412,0.9526654411764706,15.261568307876587,False,9,a0f113a0,2023-06-06_11-30-20,1686051020,284.547687292099,3584,8fa062c8815e,172.17.0.3,145.93266010284424,9
0,2.3873484267771823,1.7323138187913334,0.4765625,13.65857219696045,False,1,a0f113a0,2023-06-06_11-31-42,1686051102,298.20625948905945,14386,8fa062c8815e,172.17.0.3,13.65857219696045,1
1,0.8716521717390968,0.58734230697155,0.8616727941176471,13.373723030090332,False,2,a0f113a0,2023-06-06_11-31-55,1686051115,311.5799825191498,14386,8fa062c8815e,172.17.0.3,27.03229522705078,2
2,0.2851547039683583,0.5140364305937991,0.8920036764705882,13.052229404449463,False,3,a0f113a0,2023-06-06_11-32-08,1686051128,324.63221192359924,14386,8fa062c8815e,172.17.0.3,40.084524631500244,3
3,0.1706939573010918,0.4732960598433719,0.8947610294117647,12.90960168838501,False,4,a0f113a0,2023-06-06_11-32-21,1686051141,337.54181361198425,14386,8fa062c8815e,172.17.0.3,52.994126319885254,4
4,0.08605564907826121,0.2518779952900813,0.9361213235294118,12.925439357757568,False,5,a0f113a0,2023-06-06_11-32-34,1686051154,350.4672529697418,14386,8fa062c8815e,172.17.0.3,65.91956567764282,5
5,0.06043886701865755,0.2608147545115036,0.9375,12.958149433135986,False,6,a0f113a0,2023-06-06_11-32-47,1686051167,363.4254024028778,14386,8fa062c8815e,172.17.0.3,78.87771511077881,6
6,0.04051541838143925,0.27213849128662226,0.9338235294117647,13.322892427444458,False,7,a0f113a0,2023-06-06_11-33-00,1686051180,376.74829483032227,14386,8fa062c8815e,172.17.0.3,92.20060753822327,7
7,0.06877891038481182,0.6397148300619686,0.8543198529411765,13.413804531097412,False,8,a0f113a0,2023-06-06_11-33-14,1686051194,390.1620993614197,14386,8fa062c8815e,172.17.0.3,105.61441206932068,8
8,0.05351613632638405,0.17449139405781514,0.9503676470588235,13.341768264770508,False,9,a0f113a0,2023-06-06_11-33-27,1686051207,403.5038676261902,14386,8fa062c8815e,172.17.0.3,118.95618033409119,9
9,0.020598922375797576,0.20077261608093977,0.9499080882352942,12.999433279037476,False,10,a0f113a0,2023-06-06_11-33-40,1686051220,416.50330090522766,14386,8fa062c8815e,172.17.0.3,131.95561361312866,10
10,0.019012788785350263,0.18599455654347205,0.9558823529411765,13.4591805934906,False,11,a0f113a0,2023-06-06_11-33-54,1686051234,429.96248149871826,14386,8fa062c8815e,172.17.0.3,145.41479420661926,11
11,0.008099719158088952,0.19357089606552003,0.9586397058823529,13.056467533111572,False,12,a0f113a0,2023-06-06_11-34-07,1686051247,443.01894903182983,14386,8fa062c8815e,172.17.0.3,158.47126173973083,12
12,0.010649599470605044,0.18332352877512356,0.9568014705882353,13.142962455749512,False,13,a0f113a0,2023-06-06_11-34-20,1686051260,456.16191148757935,14386,8fa062c8815e,172.17.0.3,171.61422419548035,13
13,0.019586341124981897,0.20716848966463552,0.9522058823529411,13.02202033996582,False,14,a0f113a0,2023-06-06_11-34-33,1686051273,469.18393182754517,14386,8fa062c8815e,172.17.0.3,184.63624453544617,14
14,0.003754809211139359,0.18666606759207377,0.9568014705882353,12.853771686553955,False,15,a0f113a0,2023-06-06_11-34-46,1686051286,482.0377035140991,14386,8fa062c8815e,172.17.0.3,197.49001622200012,15
15,0.02251941771715545,0.22114664854427032,0.9407169117647058,12.9145827293396,False,16,a0f113a0,2023-06-06_11-34-59,1686051299,494.9522862434387,14386,8fa062c8815e,172.17.0.3,210.40459895133972,16
16,0.016871985849399952,0.19130643255159477,0.9590992647058824,13.934568643569946,False,17,a0f113a0,2023-06-06_11-35-13,1686051313,508.88685488700867,14386,8fa062c8815e,172.17.0.3,224.33916759490967,17
17,0.006369746318968574,0.18402902450008482,0.9600183823529411,12.805546045303345,False,18,a0f113a0,2023-06-06_11-35-25,1686051325,521.692400932312,14386,8fa062c8815e,172.17.0.3,237.144713640213,18
18,0.017172515348789,0.219604837571216,0.9407169117647058,13.010162591934204,False,19,a0f113a0,2023-06-06_11-35-38,1686051338,534.7025635242462,14386,8fa062c8815e,172.17.0.3,250.15487623214722,19
19,0.014779962371250397,0.25038669456090945,0.9508272058823529,12.890480756759644,False,20,a0f113a0,2023-06-06_11-35-51,1686051351,547.5930442810059,14386,8fa062c8815e,172.17.0.3,263.04535698890686,20
20,0.009092895798407748,0.2075529372489066,0.9535845588235294,13.548593997955322,False,21,a0f113a0,2023-06-06_11-36-05,1686051365,561.1416382789612,14386,8fa062c8815e,172.17.0.3,276.5939509868622,21
21,0.01919772239849514,0.24867590262746328,0.9388786764705882,12.92469072341919,False,22,a0f113a0,2023-06-06_11-36-18,1686051378,574.0663290023804,14386,8fa062c8815e,172.17.0.3,289.5186417102814,22
22,0.021163509960299882,0.19948441547218382,0.9540441176470589,13.505558729171753,False,23,a0f113a0,2023-06-06_11-36-31,1686051391,587.5718877315521,14386,8fa062c8815e,172.17.0.3,303.0242004394531,23
23,0.0036038158428109276,0.22562665479541893,0.9563419117647058,12.9659743309021,False,24,a0f113a0,2023-06-06_11-36-44,1686051404,600.5378620624542,14386,8fa062c8815e,172.17.0.3,315.9901747703552,24
24,0.0014896575674144506,0.19635892958296394,0.9595588235294118,13.24165678024292,False,25,a0f113a0,2023-06-06_11-36-57,1686051417,613.7795188426971,14386,8fa062c8815e,172.17.0.3,329.23183155059814,25
25,0.0006206410632409987,0.20522947965860916,0.9586397058823529,13.034350395202637,False,26,a0f113a0,2023-06-06_11-37-10,1686051430,626.8138692378998,14386,8fa062c8815e,172.17.0.3,342.2661819458008,26
26,0.00046549071441969646,0.2033300883759854,0.9600183823529411,12.92295241355896,False,27,a0f113a0,2023-06-06_11-37-23,1686051443,639.7368216514587,14386,8fa062c8815e,172.17.0.3,355.18913435935974,27
