iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.3468331434194325,1.6633912359966951,0.4618566176470588,31.970882654190063,False,1,f7c6894b,2023-06-06_11-21-33,1686050493,31.970882654190063,14377,8fa062c8815e,172.17.0.3,31.970882654190063,1
0,2.3717503738634793,1.5802034770741182,0.4430147058823529,30.299596309661865,False,1,f7c6894b,2023-06-06_11-24-28,1686050668,62.27047896385193,14381,8fa062c8815e,172.17.0.3,30.299596309661865,1
1,1.013064998156816,0.8167237271280849,0.8060661764705882,28.357884407043457,False,2,f7c6894b,2023-06-06_11-24-57,1686050697,90.62836337089539,14381,8fa062c8815e,172.17.0.3,58.65748071670532,2
2,0.4078683406114578,0.3906274803859346,0.9145220588235294,31.8830304145813,False,3,f7c6894b,2023-06-06_11-25-29,1686050729,122.51139378547668,14381,8fa062c8815e,172.17.0.3,90.54051113128662,3
0,2.43178306794861,1.8728416001095491,0.38419117647058826,14.73413872718811,False,1,f7c6894b,2023-06-06_11-28-06,1686050886,137.2455325126648,14386,8fa062c8815e,172.17.0.3,14.73413872718811,1
1,1.0691794498452862,0.7656593427938574,0.7734375,14.148806810379028,False,2,f7c6894b,2023-06-06_11-28-20,1686050900,151.39433932304382,14386,8fa062c8815e,172.17.0.3,28.88294553756714,2
2,0.3909222832654865,0.3580863339936032,0.9113051470588235,14.492896556854248,False,3,f7c6894b,2023-06-06_11-28-34,1686050914,165.88723587989807,14386,8fa062c8815e,172.17.0.3,43.37584209442139,3
3,0.15646788698521633,0.47368554759989767,0.890625,14.813910961151123,False,4,f7c6894b,2023-06-06_11-28-49,1686050929,180.7011468410492,14386,8fa062c8815e,172.17.0.3,58.18975305557251,4
4,0.10079021250955689,0.22524124948198304,0.9379595588235294,15.776411533355713,False,5,f7c6894b,2023-06-06_11-29-05,1686050945,196.4775583744049,14386,8fa062c8815e,172.17.0.3,73.96616458892822,5
5,0.056250265076105456,0.20317421582363107,0.9489889705882353,14.539892435073853,False,6,f7c6894b,2023-06-06_11-29-19,1686050959,211.01745080947876,14386,8fa062c8815e,172.17.0.3,88.50605702400208,6
6,0.04239113917529077,0.15870693056186772,0.9604779411764706,14.769838809967041,False,7,f7c6894b,2023-06-06_11-29-34,1686050974,225.7872896194458,14386,8fa062c8815e,172.17.0.3,103.27589583396912,7
7,0.034850303011322484,0.2248750444063369,0.9508272058823529,14.922665119171143,False,8,f7c6894b,2023-06-06_11-29-49,1686050989,240.70995473861694,14386,8fa062c8815e,172.17.0.3,118.19856095314026,8
8,0.0276156476239936,0.21362650209544776,0.9489889705882353,14.133975267410278,False,9,f7c6894b,2023-06-06_11-30-03,1686051003,254.84393000602722,14386,8fa062c8815e,172.17.0.3,132.33253622055054,9
