iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.2742347491597665,1.386644589550355,0.5248161764705882,48.225911140441895,False,1,37fbcd16,2023-06-06_15-13-42,1686064422,48.225911140441895,2892,8fa062c8815e,172.17.0.3,48.225911140441895,1
1,0.7205245575135194,0.7021246236913344,0.8189338235294118,50.39595890045166,False,2,37fbcd16,2023-06-06_15-14-32,1686064472,98.62187004089355,2892,8fa062c8815e,172.17.0.3,98.62187004089355,2
2,0.27589445349588554,0.30253782035673366,0.9149816176470589,47.921286821365356,False,3,37fbcd16,2023-06-06_15-15-20,1686064520,146.5431568622589,2892,8fa062c8815e,172.17.0.3,146.5431568622589,3
3,0.11452919777338076,0.3314979131169179,0.9099264705882353,48.79876470565796,False,4,37fbcd16,2023-06-06_15-16-09,1686064569,195.34192156791687,2892,8fa062c8815e,172.17.0.3,195.34192156791687,4
4,0.07143322662766842,0.1786414716831025,0.9508272058823529,48.96305799484253,False,5,37fbcd16,2023-06-06_15-16-58,1686064618,244.3049795627594,2892,8fa062c8815e,172.17.0.3,244.3049795627594,5
0,2.299136676834625,1.3414411518503637,0.5611213235294118,37.56832718849182,False,1,37fbcd16,2023-06-06_15-22-43,1686064963,281.8733067512512,30785,8fa062c8815e,172.17.0.3,37.56832718849182,1
1,0.6919534486329671,0.8092542014577809,0.7840073529411765,38.10368299484253,False,2,37fbcd16,2023-06-06_15-23-21,1686065001,319.97698974609375,30785,8fa062c8815e,172.17.0.3,75.67201018333435,2
2,0.23794304056870705,0.36771171556457,0.8988970588235294,3311.8488359451294,False,3,37fbcd16,2023-06-06_16-18-33,1686068313,3631.825825691223,30785,8fa062c8815e,172.17.0.3,3387.5208461284637,3
3,0.1359432737966909,0.2745181504801354,0.9264705882352942,35.45232677459717,False,4,37fbcd16,2023-06-06_16-19-08,1686068348,3667.2781524658203,30785,8fa062c8815e,172.17.0.3,3422.973172903061,4
4,0.06141621631669622,0.2707872656447923,0.9342830882352942,35.908960580825806,False,5,37fbcd16,2023-06-06_16-19-44,1686068384,3703.187113046646,30785,8fa062c8815e,172.17.0.3,3458.8821334838867,5
5,0.052089597026193604,0.24786396758795223,0.9342830882352942,34.74079751968384,False,6,37fbcd16,2023-06-06_16-20-19,1686068419,3737.92791056633,30785,8fa062c8815e,172.17.0.3,3493.6229310035706,6
6,0.049446015734026585,0.23553792699514067,0.9375,30.74743938446045,False,7,37fbcd16,2023-06-06_16-20-50,1686068450,3768.6753499507904,30785,8fa062c8815e,172.17.0.3,3524.370370388031,7
7,0.033054098260851164,0.2159815378528198,0.9443933823529411,31.8161461353302,False,8,37fbcd16,2023-06-06_16-21-22,1686068482,3800.4914960861206,30785,8fa062c8815e,172.17.0.3,3556.186516523361,8
8,0.029525224172546376,0.23519874748993008,0.9503676470588235,28.535712957382202,False,9,37fbcd16,2023-06-06_16-21-50,1686068510,3829.027209043503,30785,8fa062c8815e,172.17.0.3,3584.7222294807434,9
9,0.04356393361920762,0.24040955723852248,0.9375,28.982370615005493,False,10,37fbcd16,2023-06-06_16-22-19,1686068539,3858.0095796585083,30785,8fa062c8815e,172.17.0.3,3613.704600095749,10
10,0.012819235165630586,0.27329877733170765,0.9370404411764706,30.41478705406189,False,11,37fbcd16,2023-06-06_16-22-49,1686068569,3888.42436671257,30785,8fa062c8815e,172.17.0.3,3644.119387149811,11
