iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.1934091535586755,1.5853271326598,0.4742647058823529,51.78744626045227,False,1,59405287,2023-06-06_15-18-52,1686064732,51.78744626045227,30785,8fa062c8815e,172.17.0.3,51.78744626045227,1
1,0.7655656756561937,0.5461880209691384,0.8511029411764706,44.36215353012085,False,2,59405287,2023-06-06_15-19-37,1686064777,96.14959979057312,30785,8fa062c8815e,172.17.0.3,96.14959979057312,2
2,0.23856895803971198,0.28195566223824725,0.9181985294117647,36.353697061538696,False,3,59405287,2023-06-06_15-20-13,1686064813,132.50329685211182,30785,8fa062c8815e,172.17.0.3,132.50329685211182,3
3,0.15955378985014354,0.2336218720575904,0.9365808823529411,28.23372507095337,False,4,59405287,2023-06-06_15-20-41,1686064841,160.73702192306519,30785,8fa062c8815e,172.17.0.3,160.73702192306519,4
4,0.0868061571155937,0.2347087297205101,0.9361213235294118,33.72788739204407,False,5,59405287,2023-06-06_15-21-15,1686064875,194.46490931510925,30785,8fa062c8815e,172.17.0.3,194.46490931510925,5
0,2.1665173311835355,1.4400799160494524,0.5482536764705882,38.65323805809021,False,1,59405287,2023-06-06_15-22-50,1686064970,233.11814737319946,29630,8fa062c8815e,172.17.0.3,38.65323805809021,1
1,0.8221843310640854,0.5183990897939486,0.8621323529411765,38.8928906917572,False,2,59405287,2023-06-06_15-23-28,1686065008,272.01103806495667,29630,8fa062c8815e,172.17.0.3,77.54612874984741,2
2,0.2866053287012195,0.2929359907832216,0.9159007352941176,3308.2412660121918,False,3,59405287,2023-06-06_16-18-37,1686068317,3580.2523040771484,29630,8fa062c8815e,172.17.0.3,3385.787394762039,3
3,0.12576720156498905,0.23190485250533505,0.9296875,34.62560439109802,False,4,59405287,2023-06-06_16-19-11,1686068351,3614.8779084682465,29630,8fa062c8815e,172.17.0.3,3420.412999153137,4
4,0.10292402220871842,0.2763066164710942,0.9407169117647058,34.66844844818115,False,5,59405287,2023-06-06_16-19-46,1686068386,3649.5463569164276,29630,8fa062c8815e,172.17.0.3,3455.0814476013184,5
5,0.0829430223460698,0.21453788249260364,0.9439338235294118,33.54079508781433,False,6,59405287,2023-06-06_16-20-20,1686068420,3683.087152004242,29630,8fa062c8815e,172.17.0.3,3488.6222426891327,6
6,0.047351639998118276,0.26163464265546815,0.9356617647058824,29.93640899658203,False,7,59405287,2023-06-06_16-20-49,1686068449,3713.023561000824,29630,8fa062c8815e,172.17.0.3,3518.5586516857147,7
7,0.029457507451580277,0.16795180853702785,0.9563419117647058,31.115863800048828,False,8,59405287,2023-06-06_16-21-21,1686068481,3744.139424800873,29630,8fa062c8815e,172.17.0.3,3549.6745154857635,8
8,0.024363998454787487,0.2151591469780268,0.9416360294117647,27.31548762321472,False,9,59405287,2023-06-06_16-21-48,1686068508,3771.4549124240875,29630,8fa062c8815e,172.17.0.3,3576.9900031089783,9
9,0.03352125380549905,0.20721193802926471,0.9471507352941176,27.507609605789185,False,10,59405287,2023-06-06_16-22-15,1686068535,3798.9625220298767,29630,8fa062c8815e,172.17.0.3,3604.4976127147675,10
10,0.02519008749813402,0.1678967488285921,0.9600183823529411,29.822540283203125,False,11,59405287,2023-06-06_16-22-45,1686068565,3828.78506231308,29630,8fa062c8815e,172.17.0.3,3634.3201529979706,11
11,0.046460618810881905,0.1623419317218256,0.9540441176470589,29.006808519363403,False,12,59405287,2023-06-06_16-23-14,1686068594,3857.7918708324432,29630,8fa062c8815e,172.17.0.3,3663.326961517334,12
12,0.013442794312564746,0.14338876254623756,0.9600183823529411,29.312532663345337,False,13,59405287,2023-06-06_16-23-44,1686068624,3887.1044034957886,29630,8fa062c8815e,172.17.0.3,3692.6394941806793,13
13,0.047021015621812164,0.22715489183867568,0.9443933823529411,29.205206394195557,False,14,59405287,2023-06-06_16-24-13,1686068653,3916.309609889984,29630,8fa062c8815e,172.17.0.3,3721.844700574875,14
14,0.015655798786681472,0.22133798132349244,0.9485294117647058,28.37359070777893,False,15,59405287,2023-06-06_16-24-41,1686068681,3944.683200597763,29630,8fa062c8815e,172.17.0.3,3750.218291282654,15
