iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.293940093332124,1.4273556470870972,0.5537683823529411,57.170751333236694,False,1,e54c1318,2023-06-06_15-13-32,1686064412,57.170751333236694,30788,8fa062c8815e,172.17.0.3,57.170751333236694,1
0,2.221557909134522,1.2739386944209827,0.578125,68.99491858482361,False,1,e54c1318,2023-06-06_15-18-18,1686064698,126.1656699180603,30787,8fa062c8815e,172.17.0.3,68.99491858482361,1
1,0.6426734214702856,0.5125937490340542,0.8235294117647058,59.005993127822876,False,2,e54c1318,2023-06-06_15-19-17,1686064757,185.17166304588318,30787,8fa062c8815e,172.17.0.3,128.00091171264648,2
2,0.25748278249452994,0.32325684761299806,0.9057904411764706,51.388351917266846,False,3,e54c1318,2023-06-06_15-20-09,1686064809,236.56001496315002,30787,8fa062c8815e,172.17.0.3,179.38926362991333,3
0,2.2904089614025596,1.7493440017980688,0.421875,44.983201026916504,False,1,e54c1318,2023-06-06_15-21-20,1686064880,281.5432159900665,24883,8fa062c8815e,172.17.0.3,44.983201026916504,1
1,0.950907317180078,0.691665100700715,0.78125,33.46661996841431,False,2,e54c1318,2023-06-06_15-21-53,1686064913,315.00983595848083,24883,8fa062c8815e,172.17.0.3,78.44982099533081,2
2,0.3847996167910909,0.4684078440289287,0.8929227941176471,40.583163022994995,False,3,e54c1318,2023-06-06_15-22-34,1686064954,355.59299898147583,24883,8fa062c8815e,172.17.0.3,119.0329840183258,3
3,0.18995703235087755,0.3402310059789349,0.9067095588235294,47.789989709854126,False,4,e54c1318,2023-06-06_15-23-21,1686065001,403.38298869132996,24883,8fa062c8815e,172.17.0.3,166.82297372817993,4
4,0.10659877399380491,0.19250589184572592,0.9448529411764706,3320.6486716270447,False,5,e54c1318,2023-06-06_16-18-42,1686068322,3724.0316603183746,24883,8fa062c8815e,172.17.0.3,3487.4716453552246,5
5,0.0904160500639706,0.4019098727799514,0.9076286764705882,45.35191512107849,False,6,e54c1318,2023-06-06_16-19-27,1686068367,3769.383575439453,24883,8fa062c8815e,172.17.0.3,3532.823560476303,6
