iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.124303198265798,1.2726132519104902,0.6433823529411765,51.08313775062561,False,1,f209c9c0,2023-06-06_15-18-58,1686064738,51.08313775062561,30780,8fa062c8815e,172.17.0.3,51.08313775062561,1
1,0.6809421288735659,0.5143097110969179,0.8768382352941176,43.478432178497314,False,2,f209c9c0,2023-06-06_15-19-41,1686064781,94.56156992912292,30780,8fa062c8815e,172.17.0.3,94.56156992912292,2
2,0.26728250169493617,0.3813000259482685,0.9039522058823529,35.19083881378174,False,3,f209c9c0,2023-06-06_15-20-16,1686064816,129.75240874290466,30780,8fa062c8815e,172.17.0.3,129.75240874290466,3
3,0.13634424305801252,0.3139407491201864,0.9140625,28.69082021713257,False,4,f209c9c0,2023-06-06_15-20-45,1686064845,158.44322896003723,30780,8fa062c8815e,172.17.0.3,158.44322896003723,4
4,0.1026204941586311,0.2295851052245673,0.9393382352941176,33.608397006988525,False,5,f209c9c0,2023-06-06_15-21-19,1686064879,192.05162596702576,30780,8fa062c8815e,172.17.0.3,192.05162596702576,5
0,2.2268539100017364,1.489225298166275,0.5248161764705882,39.74987173080444,False,1,f209c9c0,2023-06-06_15-22-51,1686064971,231.8014976978302,29632,8fa062c8815e,172.17.0.3,39.74987173080444,1
1,0.7261617958401013,0.5669720843434334,0.8465073529411765,38.21265459060669,False,2,f209c9c0,2023-06-06_15-23-29,1686065009,270.0141522884369,29632,8fa062c8815e,172.17.0.3,77.96252632141113,2
2,0.25662300882191913,0.434424484586891,0.8846507352941176,3308.3610742092133,False,3,f209c9c0,2023-06-06_16-18-37,1686068317,3578.37522649765,29632,8fa062c8815e,172.17.0.3,3386.3236005306244,3
3,0.1794354683059512,0.29333129826494875,0.9287683823529411,34.74315619468689,False,4,f209c9c0,2023-06-06_16-19-12,1686068352,3613.118382692337,29632,8fa062c8815e,172.17.0.3,3421.0667567253113,4
4,0.08822049541869065,0.21710956923882752,0.9457720588235294,35.08948850631714,False,5,f209c9c0,2023-06-06_16-19-47,1686068387,3648.207871198654,29632,8fa062c8815e,172.17.0.3,3456.1562452316284,5
5,0.0714006058067011,0.2647355092031991,0.9393382352941176,33.39797377586365,False,6,f209c9c0,2023-06-06_16-20-21,1686068421,3681.605844974518,29632,8fa062c8815e,172.17.0.3,3489.554219007492,6
6,0.03262939392272564,0.18010305270196542,0.9503676470588235,30.01929807662964,False,7,f209c9c0,2023-06-06_16-20-51,1686068451,3711.6251430511475,29632,8fa062c8815e,172.17.0.3,3519.5735170841217,7
7,0.02975690484078583,0.18410583788885132,0.9508272058823529,31.288381338119507,False,8,f209c9c0,2023-06-06_16-21-22,1686068482,3742.913524389267,29632,8fa062c8815e,172.17.0.3,3550.861898422241,8
8,0.046171433677743144,0.19429267967215685,0.9522058823529411,27.848249912261963,False,9,f209c9c0,2023-06-06_16-21-50,1686068510,3770.761774301529,29632,8fa062c8815e,172.17.0.3,3578.710148334503,9
9,0.04083500985842813,0.12983689920785016,0.9623161764705882,28.25732660293579,False,10,f209c9c0,2023-06-06_16-22-18,1686068538,3799.0191009044647,29632,8fa062c8815e,172.17.0.3,3606.967474937439,10
10,0.020333201349238206,0.122279257119825,0.9678308823529411,28.489465951919556,False,11,f209c9c0,2023-06-06_16-22-47,1686068567,3827.5085668563843,29632,8fa062c8815e,172.17.0.3,3635.4569408893585,11
11,0.013027461586425135,0.17567488627494587,0.9545036764705882,29.485291004180908,False,12,f209c9c0,2023-06-06_16-23-16,1686068596,3856.993857860565,29632,8fa062c8815e,172.17.0.3,3664.9422318935394,12
12,0.013432153558259089,0.20436500894549467,0.9453125,29.474683046340942,False,13,f209c9c0,2023-06-06_16-23-45,1686068625,3886.468540906906,29632,8fa062c8815e,172.17.0.3,3694.4169149398804,13
13,0.018798197446124248,0.1097667434523293,0.9696691176470589,30.073994636535645,False,14,f209c9c0,2023-06-06_16-24-16,1686068656,3916.5425355434418,29632,8fa062c8815e,172.17.0.3,3724.490909576416,14
14,0.032671457094658005,0.14512328994254964,0.9618566176470589,28.311129570007324,False,15,f209c9c0,2023-06-06_16-24-44,1686068684,3944.853665113449,29632,8fa062c8815e,172.17.0.3,3752.8020391464233,15
0,2.3529687031958866,1.5358002518906313,0.5128676470588235,23.451520442962646,False,1,f209c9c0,2023-06-06_16-26-16,1686068776,3968.3051855564117,25572,8fa062c8815e,172.17.0.3,23.451520442962646,1
1,0.801867693228629,0.6222555277978673,0.8249080882352942,22.274667501449585,False,2,f209c9c0,2023-06-06_16-26-38,1686068798,3990.5798530578613,25572,8fa062c8815e,172.17.0.3,45.72618794441223,2
2,0.26811514946731546,0.37076475032988715,0.9057904411764706,22.69138479232788,False,3,f209c9c0,2023-06-06_16-27-01,1686068821,4013.271237850189,25572,8fa062c8815e,172.17.0.3,68.41757273674011,3
3,0.14341479782195923,0.2891952289980562,0.9246323529411765,21.81923222541809,False,4,f209c9c0,2023-06-06_16-27-23,1686068843,4035.0904700756073,25572,8fa062c8815e,172.17.0.3,90.2368049621582,4
4,0.12386069160171793,0.24707889217225945,0.9306066176470589,21.14555835723877,False,5,f209c9c0,2023-06-06_16-27-44,1686068864,4056.236028432846,25572,8fa062c8815e,172.17.0.3,111.38236331939697,5
5,0.054236045509612966,0.25558941315530853,0.9393382352941176,22.380852937698364,False,6,f209c9c0,2023-06-06_16-28-06,1686068886,4078.6168813705444,25572,8fa062c8815e,172.17.0.3,133.76321625709534,6
6,0.03736719948881604,0.28391870498821575,0.9241727941176471,21.019777059555054,False,7,f209c9c0,2023-06-06_16-28-27,1686068907,4099.6366584300995,25572,8fa062c8815e,172.17.0.3,154.7829933166504,7
7,0.04188585282276267,0.16817543131080182,0.9535845588235294,22.3071129322052,False,8,f209c9c0,2023-06-06_16-28-50,1686068930,4121.943771362305,25572,8fa062c8815e,172.17.0.3,177.0901062488556,8
8,0.01833873381725178,0.19867478999966645,0.9558823529411765,21.975516080856323,False,9,f209c9c0,2023-06-06_16-29-12,1686068952,4143.919287443161,25572,8fa062c8815e,172.17.0.3,199.0656223297119,9
9,0.019436614188361116,0.16660963575465276,0.9590992647058824,21.274259328842163,False,10,f209c9c0,2023-06-06_16-29-33,1686068973,4165.193546772003,25572,8fa062c8815e,172.17.0.3,220.33988165855408,10
10,0.02550855105645611,0.17452755923424026,0.9545036764705882,21.64565634727478,False,11,f209c9c0,2023-06-06_16-29-55,1686068995,4186.839203119278,25572,8fa062c8815e,172.17.0.3,241.98553800582886,11
11,0.029509058669186874,0.14866499432280442,0.9659926470588235,21.792943954467773,False,12,f209c9c0,2023-06-06_16-30-16,1686069016,4208.632147073746,25572,8fa062c8815e,172.17.0.3,263.77848196029663,12
12,0.008420924852190774,0.15896869846448466,0.9632352941176471,21.65060067176819,False,13,f209c9c0,2023-06-06_16-30-38,1686069038,4230.282747745514,25572,8fa062c8815e,172.17.0.3,285.4290826320648,13
